"id","word_en","word_de","part_of_speech","topic","status","correct_streak","times_seen","wrong_count","half_count","last_seen","last_result","difficulty","notes"
"seed-001","the responsibility","die Verantwortung","noun","arbeit","learning","1","1","0","0","2026-06-11","correct","B1","Used with Verantwortung übernehmen."
"seed-002","to negotiate","verhandeln","verb","arbeit","new","0","0","0","0","","","B2",""
"seed-003","the appointment","der Termin","noun","alltag","mastered","9","10","0","0","2026-06-21","correct","B1",""
"seed-004","to postpone","verschieben","verb","arbeit","mastered","4","5","1","0","2026-07-09","correct","B1",""
"seed-005","reliable","zuverlässig","adjective","arbeit","learning","1","2","0","0","2026-06-19","correct","B1",""
"seed-006","the colleague","der Kollege","noun","arbeit","learning","1","1","0","0","2026-06-11","correct","B1","Female: die Kollegin."
"seed-007","the application","die Bewerbung","noun","arbeit","learning","1","1","0","0","2026-06-11","correct","B1",""
"seed-008","the job posting","die Stellenausschreibung","noun","arbeit","new","0","0","0","0","","","B2",""
"seed-009","to apply","sich bewerben","verb","arbeit","learning","1","1","0","0","2026-06-11","correct","B1","Reflexive: ich bewerbe mich."
"seed-010","the salary","das Gehalt","noun","arbeit","learning","1","1","0","0","2026-06-11","correct","B1",""
"seed-011","the contract","der Vertrag","noun","arbeit","learning","1","1","0","0","2026-06-11","correct","B1",""
"seed-012","to sign","unterschreiben","verb","arbeit","learning","1","1","0","0","2026-06-11","correct","B1",""
"seed-013","the meeting","die Besprechung","noun","arbeit","learning","1","1","0","0","2026-06-11","correct","B1",""
"seed-014","the task","die Aufgabe","noun","arbeit","learning","2","2","0","0","2026-07-13","correct","B1",""
"seed-015","to finish","erledigen","verb","arbeit","mastered","4","7","2","0","2026-07-18","correct","B1",""
"seed-016","urgent","dringend","adjective","arbeit","learning","1","2","0","0","2026-07-18","correct","B1",""
"seed-017","the deadline","die Frist","noun","arbeit","learning","0","1","0","0","2026-07-18","correct","B2",""
"seed-018","the experience","die Erfahrung","noun","arbeit","mastered","3","4","1","0","2026-06-19","correct","B1",""
"seed-019","the skill","die Fähigkeit","noun","arbeit","learning","1","1","0","0","2026-06-12","correct","B1",""
"seed-020","to improve","verbessern","verb","arbeit","learning","1","1","0","0","2026-06-13","correct","B1",""
"seed-021","the apartment","die Wohnung","noun","alltag","mastered","9","8","0","0","2026-06-22","correct","B1",""
"seed-022","the rent","die Miete","noun","alltag","mastered","8","7","0","0","2026-06-27","correct","B1",""
"seed-023","the tenant","der Mieter","noun","alltag","mastered","3","7","1","0","2026-06-18","correct","B1","Female: die Mieterin."
"seed-024","the landlord","der Vermieter","noun","alltag","mastered","3","7","1","0","2026-07-02","wrong","B1","Female: die Vermieterin."
"seed-025","the heating","die Heizung","noun","haushalt","learning","2","4","0","0","2026-07-12","correct","B1",""
"seed-026","to vacuum","staubsaugen","verb","haushalt","learning","1","1","0","0","2026-06-13","correct","B1",""
"seed-027","the laundry","die Wäsche","noun","haushalt","learning","2","3","0","0","2026-07-12","correct","B1",""
"seed-028","to wash dishes","spülen","verb","haushalt","learning","1","1","0","0","2026-06-13","correct","B1",""
"seed-029","the garbage","der Müll","noun","haushalt","learning","2","2","0","0","2026-07-08","correct","A2",""
"seed-030","to throw away","wegwerfen","verb","haushalt","learning","1","1","0","0","2026-06-14","correct","B1",""
"seed-031","the grocery store","der Supermarkt","noun","alltag","learning","1","1","0","0","2026-06-15","correct","A2",""
"seed-032","the receipt","der Kassenzettel","noun","alltag","mastered","7","12","3","1","2026-07-08","correct","B1",""
"seed-033","the discount","der Rabatt","noun","alltag","learning","1","2","0","1","2026-06-04","correct","B1",""
"seed-034","to pay in cash","bar bezahlen","phrase","alltag","mastered","3","4","0","0","2026-07-13","correct","A2",""
"seed-035","the queue","die Schlange","noun","alltag","mastered","8","7","0","0","2026-07-09","wrong","B1",""
"seed-036","to wait","warten","verb","alltag","mastered","8","7","0","0","2026-06-22","correct","A2",""
"seed-037","annoying","nervig","adjective","gefühle","new","0","0","0","0","","","B1","Colloquial and useful."
"seed-038","exhausted","erschöpft","adjective","gefühle","learning","2","2","0","0","2026-07-09","correct","B1",""
"seed-039","worried","besorgt","adjective","gefühle","new","0","0","0","0","","","B1",""
"seed-040","relieved","erleichtert","adjective","gefühle","learning","2","2","0","0","2026-07-09","correct","B1",""
